p	(av_abs_m)	susceptibility	binder cumulant
0.176667	0.0761878	3.01249	0.00182068
0.0966667	0.110008	6.09552	0.0336343
0.296667	0.0568326	1.62021	0.0297655
0.336667	0.0528648	1.40837	0.0356603
0.256667	0.06137	1.97211	-0.00101664
0.0581481	0.150695	10.6953	0.109523
0.216667	0.0696244	2.38776	0.0454101
0.138148	0.0911033	4.23094	0.0168156
0.178148	0.0762941	2.93764	0.0254886
0.0981481	0.111473	6.21688	0.0478353
0.298148	0.0559956	1.57927	0.000645206
0.338148	0.0529104	1.42107	0.0169677
0.258148	0.0619126	1.94217	0.0352601
0.0596296	0.148548	10.5509	0.0960322
0.218148	0.0682022	2.35854	0.0121105
0.13963	0.0900622	4.09804	0.0194603
0.17963	0.0786204	3.11728	0.0115362
0.0996296	0.108829	6.05167	0.0131673
0.29963	0.0564267	1.58205	0.0147005
0.33963	0.0525548	1.37088	0.0158855
0.0611111	0.14679	10.083	0.112387
0.25963	0.0616937	1.959	0.0183754
0.21963	0.0678819	2.35897	-0.00175188
0.141111	0.0881111	3.9224	0.0302048
0.181111	0.076943	3.05519	0.00919827
0.101111	0.108689	5.92223	0.0402627
0.301111	0.05624	1.62034	-0.00119219
0.341111	0.0521685	1.39343	0.00756817
0.0625926	0.143264	9.73171	0.105358
0.261111	0.0620348	1.95141	0.0371179
0.142593	0.0876641	3.8883	0.0475159
0.221111	0.0674278	2.33971	-0.0138601
0.182593	0.0762989	2.89823	0.0355602
0.102593	0.108148	5.70031	0.0810155
0.302593	0.05512	1.62741	-0.0303124
0.342593	0.0532533	1.47981	0.0115128
0.0640741	0.143201	9.7044	0.094456
0.144074	0.087663	3.71965	0.0364164
0.262593	0.0615878	1.91726	0.0277693
0.222593	0.0679341	2.2396	0.0776925
0.184074	0.0752537	2.97065	-0.00631657
0.104074	0.107305	5.7176	0.0457646
0.304074	0.0551733	1.54306	0.043801
0.344074	0.0519326	1.37732	0.00839383
0.0655556	0.141307	9.51982	0.0926533
0.145556	0.0875252	3.70219	0.0557999
0.264074	0.060393	1.86017	0.00103712
0.224074	0.0665274	2.27838	0.00915287
0.185556	0.0748374	2.9049	0.0204889
0.105556	0.106608	5.65894	0.0512354
0.305556	0.056553	1.64435	-0.0138637
0.345556	0.0515681	1.33923	0.0212219
0.067037	0.138473	9.23695	0.0949853
0.147037	0.08698	3.76476	0.0568744
0.265556	0.0604322	1.81517	0.0127045
0.225556	0.0671885	2.32009	0.0121308
0.187037	0.0742667	2.77922	0.00918342
0.107037	0.1037	5.29713	0.0451377
0.307037	0.0559919	1.57366	0.0351298
0.0685185	0.13871	9.26781	0.0966878
0.347037	0.0510733	1.3685	0.00196756
0.148519	0.0850937	3.65404	0.0213367
0.267037	0.0602841	1.91842	-0.0128615
0.227037	0.067003	2.25762	0.0315188
0.188519	0.0741859	2.79409	0.0236271
0.108519	0.102409	5.26096	0.0218387
0.308519	0.0547144	1.57231	-7.21011e-05
0.348519	0.0516596	1.35667	0.00416185
0.268519	0.0606874	1.84175	0.010887
0.228519	0.0649519	2.14158	-0.0105073
