p	(av_abs_m)	susceptibility	binder cumulant
0.03	0.948507	0.10951	0.666565
0.07	0.902027	0.255877	0.666406
0.11	0.842751	0.631657	0.665935
0.15	0.732108	5.59006	0.659847
0.19	0.255768	42.6455	0.298779
0.27	0.0796262	5.62137	0.054706
0.23	0.113366	11.2414	0.0637523
0.31	0.0620529	3.49493	0.0208434
0.0314815	0.946935	0.114785	0.66656
0.0714815	0.900637	0.26275	0.666398
0.111481	0.84075	0.665838	0.665892
0.151481	0.725817	5.78349	0.659173
0.191481	0.241896	40.1623	0.273559
0.271481	0.078969	5.64016	0.030953
0.231481	0.112868	11.187	0.076351
0.311481	0.0630531	3.4475	0.0429619
0.032963	0.945321	0.119361	0.666556
0.072963	0.898171	0.274708	0.666384
0.112963	0.837335	0.712486	0.665832
0.152963	0.716442	7.30277	0.657547
0.192963	0.235461	37.6899	0.266222
0.232963	0.108477	10.2771	0.0308508
0.272963	0.0771158	5.26272	0.0488413
0.312963	0.06269	3.56394	0.00533364
0.0344444	0.943913	0.124827	0.66655
0.0744444	0.896611	0.272638	0.666385
0.114444	0.834738	0.727209	0.66581
0.154444	0.706643	8.81798	0.655603
0.194444	0.220083	34.6535	0.240677
0.234444	0.107555	10.1926	0.0615914
0.274444	0.0769688	5.35464	0.0166609
0.314444	0.0625606	3.5326	0.0222602
0.0359259	0.942036	0.128116	0.666547
0.0759259	0.89459	0.284194	0.666372
0.115926	0.832293	0.742123	0.665789
0.155926	0.699518	9.02831	0.654956
0.195926	0.216806	33.9139	0.23552
0.235926	0.105233	9.68938	0.0519472
0.275926	0.0764294	5.20854	0.0218777
0.315926	0.0623029	3.43213	0.0402141
0.0374074	0.940482	0.12922	0.666545
0.0774074	0.892807	0.297205	0.666357
0.117407	0.828801	0.803972	0.665709
0.157407	0.68753	11.8508	0.651727
0.197407	0.203775	30.6405	0.217562
0.237407	0.105696	9.83772	0.0629253
0.277407	0.0756683	5.20379	0.0321982
0.317407	0.0606706	3.38361	0.0207917
0.0388889	0.938956	0.139039	0.666535
0.0788889	0.890496	0.310277	0.666342
0.118889	0.826334	0.808587	0.665699
0.158889	0.675325	15.0903	0.648488
0.198889	0.196727	29.6622	0.187174
0.238889	0.103571	9.2014	0.0937624
0.278889	0.0749117	4.95909	0.0330977
0.318889	0.0607148	3.35051	0.0134325
0.0403704	0.937106	0.139718	0.666534
0.0803704	0.888465	0.310352	0.66634
0.12037	0.822845	0.880177	0.665605
0.16037	0.660766	17.7033	0.644528
0.20037	0.18997	28.481	0.164962
0.24037	0.101459	9.38319	0.0219146
0.28037	0.0747573	4.97105	0.0210894
0.32037	0.0598517	3.18541	0.0472189
0.0418519	0.935695	0.149131	0.666525
0.0818519	0.886683	0.322194	0.666327
0.121852	0.819583	0.979139	0.665482
0.161852	0.647237	20.6258	0.640483
0.201852	0.186196	26.7102	0.175855
0.241852	0.0992556	8.67862	0.0506839
0.281852	0.0728452	4.7399	0.00910792
0.321852	0.0588558	3.06711	0.0306695
0.0433333	0.933832	0.145444	0.666528
0.0833333	0.884519	0.320193	0.666327
0.123333	0.816423	0.974756	0.665473
0.163333	0.629136	25.8029	0.633667
0.203333	0.17542	24.738	0.155486
0.243333	0.0984808	8.59103	0.0370952
0.283333	0.0725921	4.63907	0.0442848
0.323333	0.0591917	3.26005	-0.012609
0.0448148	0.932098	0.152045	0.666521
0.0848148	0.882452	0.328853	0.666316
0.124815	0.813017	1.08016	0.665341
0.164815	0.613597	28.8578	0.628178
0.204815	0.172	22.9345	0.17532
0.244815	0.0977306	8.41742	0.042931
0.284815	0.0724081	4.77636	0.0163223
0.324815	0.0587283	3.05346	0.0480357
0.0462963	0.93047	0.161069	0.666512
0.0862963	0.87997	0.357089	0.666285
0.126296	0.809544	1.09248	0.665311
0.166296	0.589727	37.7131	0.615948
0.206296	0.167392	22.4968	0.142903
0.246296	0.0962058	8.35041	0.0306471
0.286296	0.0716531	4.73173	0.0137824
0.326296	0.0585658	3.17292	0.00799604
0.0477778	0.92881	0.170422	0.666502
0.0877778	0.877863	0.382786	0.666256
0.127778	0.80582	1.21094	0.665158
0.167778	0.574388	37.9134	0.61075
0.207778	0.160772	21.1186	0.128642
0.247778	0.0929294	7.73558	0.0166775
0.287778	0.0713694	4.47779	0.0433813
0.327778	0.0581181	3.09882	-0.0178386
0.0492593	0.927236	0.167951	0.666504
0.0892593	0.876262	0.370525	0.666267
0.129259	0.80284	1.2473	0.665106
0.169259	0.548487	44.4542	0.596561
0.209259	0.156391	20.4478	0.115606
0.249259	0.0925819	7.55414	0.0520958
0.289259	0.0691735	4.34457	0.0376986
0.0507407	0.925294	0.173266	0.666498
0.329259	0.0577823	3.11089	-0.0254695
0.0907407	0.87391	0.369943	0.666265
0.130741	0.798688	1.33211	0.664987
0.170741	0.526682	47.63	0.585357
0.210741	0.154377	19.4679	0.128289
0.250741	0.0931958	7.76126	0.0408924
0.290741	0.0700473	4.34033	0.0335091
0.0522222	0.923344	0.181806	0.666489
0.330741	0.0575798	2.91035	0.0511672
0.0922222	0.871927	0.400181	0.666232
0.132222	0.79486	1.52615	0.664762
0.172222	0.499498	50.9627	0.570212
0.212222	0.147397	18.2094	0.113912
0.252222	0.090846	7.36094	0.048633
0.292222	0.0685035	4.23531	0.0233175
0.0537037	0.921866	0.181947	0.666489
0.332222	0.0565469	2.86646	0.00164613
0.0937037	0.869378	0.410675	0.666218
0.133704	0.790922	1.66071	0.664587
0.173704	0.474027	57.8774	0.546716
0.213704	0.144618	17.5571	0.0922371
0.253704	0.0888073	6.97202	0.0451237
0.0551852	0.920048	0.1956	0.666475
0.293704	0.0685717	4.28852	0.00274618
0.333704	0.0567737	2.93317	0.00338516
0.0951852	0.867066	0.412208	0.666213
0.135185	0.787319	1.70305	0.664471
0.175185	0.454185	55.4942	0.53764
0.215185	0.138195	16.4571	0.0869087
0.0566667	0.918601	0.193852	0.666476
0.255185	0.0881123	7.18586	0.0245176
0.295185	0.0680446	4.09574	0.0569104
0.0966667	0.864901	0.451185	0.666168
0.335185	0.0564733	2.98602	-0.0281448
0.136667	0.78211	1.87901	0.664231
0.176667	0.432902	56.0553	0.52129
0.216667	0.138101	16.3208	0.0964242
0.0581481	0.916706	0.195284	0.666474
0.256667	0.087581	6.80085	0.0367966
0.296667	0.0664375	3.99836	0.0123185
0.0981481	0.862801	0.465462	0.66615
0.138148	0.777918	2.06466	0.664025
0.336667	0.0560729	2.85312	0.0176473
0.178148	0.388465	61.9112	0.470504
0.218148	0.1337	14.5628	0.119664
0.0596296	0.914964	0.208545	0.66646
0.258148	0.0871392	6.7513	0.0368355
0.298148	0.0659337	3.87469	0.0188576
0.0996296	0.860085	0.485968	0.666124
0.13963	0.772801	2.30581	0.663676
0.338148	0.0554846	2.83791	-0.0137114
0.17963	0.382854	56.4044	0.474645
0.21963	0.131612	14.936	0.0838982
0.0611111	0.913125	0.2118	0.666456
0.25963	0.0852956	6.58779	0.0309171
0.29963	0.0669621	3.98403	0.0345915
0.101111	0.858035	0.493782	0.666113
0.141111	0.768404	2.52271	0.663346
0.181111	0.36394	56.1165	0.45487
0.33963	0.0557394	2.76565	0.0174211
0.0625926	0.911525	0.220015	0.666447
0.221111	0.126647	14.1648	0.0507678
0.261111	0.0850823	6.43573	0.0373732
0.102593	0.85597	0.508168	0.666094
0.301111	0.0661319	3.72893	0.0630747
0.142593	0.763253	2.66917	0.663143
0.182593	0.349245	53.8047	0.441173
0.341111	0.0546404	2.79128	-0.0139286
0.0640741	0.90929	0.224791	0.666441
0.222593	0.125874	14.0414	0.0600144
0.262593	0.0837554	6.25785	0.025501
0.104074	0.853071	0.532647	0.666063
0.302593	0.0655069	3.89887	0.0266618
0.144074	0.756896	3.21109	0.662462
0.184074	0.315118	52.4231	0.387439
0.342593	0.0554744	2.82466	0.00307382
0.0655556	0.907807	0.24318	0.666422
0.224074	0.123655	13.3298	0.0726588
0.264074	0.083004	6.17479	0.0243372
0.105556	0.850803	0.5816	0.666005
0.145556	0.751924	3.46812	0.6621
0.304074	0.0648333	3.63303	0.0603801
0.185556	0.304067	49.7971	0.377954
0.344074	0.0545919	2.66105	0.0260625
0.067037	0.905816	0.242148	0.666422
0.225556	0.123586	13.2279	0.0545448
0.107037	0.848076	0.574911	0.666009
0.265556	0.081136	5.9722	0.0232444
0.147037	0.745534	3.52532	0.661899
0.305556	0.0643488	3.67154	0.0466636
0.187037	0.281177	46.936	0.340306
0.345556	0.0536746	2.6288	0.00917041
0.0685185	0.904064	0.237266	0.666426
0.227037	0.118051	12.2784	0.0592043
0.108519	0.845149	0.610691	0.665962
0.267037	0.0791383	5.59364	0.0182399
0.148519	0.739744	4.28391	0.660974
0.307037	0.0648988	3.75053	0.0230528
0.188519	0.267249	43.4253	0.322508
0.347037	0.05416	2.63958	0.0278995
0.228519	0.116191	11.7533	0.0677863
0.268519	0.0821829	5.86296	0.0530366
0.308519	0.063114	3.63452	-0.00466885
0.348519	0.0538754	2.56886	0.0412671
