p	(av_abs_m)	susceptibility	binder cumulant
0.01	0.866969	1.86306	0.659314
0.0119667	0.86768	1.67753	0.659853
0.0139333	0.861582	1.87166	0.659384
0.0159	0.860018	1.70689	0.659799
0.0178667	0.848	2.90734	0.656651
0.0198333	0.854187	2.00485	0.658266
0.0218	0.847893	1.86808	0.658563
0.0237667	0.845422	2.16551	0.657651
0.0257333	0.839093	2.47587	0.656372
0.0277	0.84304	1.74757	0.658767
0.0296667	0.835751	2.83587	0.654675
0.0316333	0.840604	1.12952	0.660261
0.0336	0.829742	2.30468	0.65616
0.0355667	0.835947	1.40018	0.659225
0.0375333	0.83072	1.20082	0.659012
0.0395	0.823324	1.70874	0.657016
0.0414667	0.82208	1.8929	0.657075
0.0434333	0.813031	2.51991	0.654092
0.0454	0.818009	1.73499	0.657332
0.0473667	0.812942	1.46436	0.657239
0.0493333	0.798258	2.36159	0.651776
0.0513	0.798169	2.20472	0.652964
0.0532667	0.796124	2.21426	0.653565
0.0552333	0.791573	2.46882	0.651923
0.0572	0.79392	2.4944	0.652754
0.0591667	0.786204	2.4695	0.65227
0.0611333	0.783413	2.78791	0.651651
0.0631	0.774204	2.74362	0.650703
0.0650667	0.749938	4.22746	0.641091
0.0670333	0.771449	2.80848	0.65031
0.069	0.754418	3.45873	0.643411
0.0709667	0.748284	3.96268	0.642095
0.0729333	0.753209	2.73451	0.646978
0.0749	0.744124	3.22567	0.642683
0.0768667	0.722507	4.49064	0.637315
0.0788333	0.722489	4.66204	0.636617
0.0808	0.704391	6.0708	0.627503
0.0827667	0.718044	5.23281	0.634559
0.0847333	0.706258	5.0789	0.632025
0.0867	0.690773	5.62658	0.626544
0.0886667	0.68144	6.11662	0.621226
0.0906333	0.673227	6.21442	0.619908
0.0926	0.663662	6.09272	0.616714
0.0945667	0.665493	6.85583	0.616402
0.0965333	0.64224	7.61555	0.603654
0.0985	0.644747	7.27802	0.608365
0.100467	0.629351	7.62437	0.600502
0.102433	0.612978	7.85508	0.594139
0.1044	0.614489	7.35696	0.597632
0.106367	0.598596	7.96318	0.588473
0.108333	0.586062	9.42146	0.578445
0.1103	0.574987	9.41332	0.571955
0.112267	0.592604	8.49095	0.586135
0.114233	0.564302	10.1865	0.561562
0.1162	0.556053	9.31301	0.565696
0.118167	0.534738	9.68912	0.547322
0.120133	0.520356	10.0879	0.542643
0.1221	0.517493	10.0302	0.536209
0.124067	0.495324	9.58169	0.524657
0.126033	0.47744	10.6386	0.507481
0.128	0.477031	10.6203	0.506099
0.129967	0.468658	10.1663	0.501061
0.131933	0.453884	10.5848	0.489005
0.1339	0.448231	10.6926	0.483097
0.135867	0.44256	10.1137	0.487252
0.137833	0.414916	10.7015	0.449485
0.1398	0.428533	10.0076	0.462952
0.141767	0.404516	11.0152	0.427936
0.143733	0.393618	10.0739	0.415511
0.1457	0.386116	9.9563	0.427594
0.147667	0.385742	10.1905	0.422232
0.149633	0.373973	10.323	0.408146
0.1516	0.359644	9.07581	0.387147
0.153567	0.354027	9.70504	0.371544
0.155533	0.355964	9.3957	0.395871
0.1575	0.348818	8.59028	0.380047
0.159467	0.33808	8.76332	0.365845
0.161433	0.345742	8.85403	0.373743
0.1634	0.322684	8.89434	0.349598
0.165367	0.304533	8.90372	0.311966
0.167333	0.313867	7.65102	0.347427
0.1693	0.296231	7.97006	0.312469
0.171267	0.310098	8.43408	0.319265
0.173233	0.29264	8.21063	0.278113
0.1752	0.2776	7.55707	0.261003
0.177167	0.280373	7.38006	0.284704
0.179133	0.272942	7.14054	0.288284
0.1811	0.289547	7.63692	0.290567
0.183067	0.262009	7.00785	0.237391
0.185033	0.269991	6.9456	0.270223
0.187	0.250311	6.30294	0.239419
0.188967	0.240409	5.9035	0.236297
0.190933	0.26448	6.51025	0.282303
0.1929	0.246293	6.68154	0.199035
0.194867	0.225867	5.58787	0.163159
0.196833	0.233564	5.68892	0.216574
0.1988	0.234116	6.21269	0.175706
0.200767	0.224693	5.82309	0.180169
0.202733	0.223822	5.66758	0.128284
0.2047	0.222933	5.12469	0.195843
0.206667	0.222489	5.55942	0.189447
0.208633	0.225244	5.37441	0.197592
0.2106	0.211396	5.06301	0.159643
0.212567	0.217013	5.10191	0.199834
0.214533	0.217084	5.21977	0.21821
0.2165	0.211324	4.61566	0.195993
0.218467	0.220178	5.08219	0.195478
0.220433	0.202702	4.97834	0.089271
0.2224	0.200267	4.50519	0.151228
0.224367	0.196924	4.13138	0.166623
0.226333	0.203111	4.93411	0.12585
0.2283	0.192587	4.1481	0.184872
0.230267	0.192942	3.88344	0.201223
0.232233	0.191093	4.18116	0.119531
0.2342	0.175644	3.91674	0.0748675
0.236167	0.194222	4.71352	0.103623
0.238133	0.187396	3.60048	0.227757
0.2401	0.189636	3.91613	0.148719
0.242067	0.184924	3.96401	0.141105
0.244033	0.184711	3.90758	0.144144
0.246	0.177529	3.49392	0.114549
0.247967	0.178418	3.72133	0.117545
0.249933	0.182507	3.71127	0.136053
0.2519	0.178933	3.83966	0.115382
0.253867	0.173831	3.55443	0.134126
0.255833	0.179449	3.07873	0.256109
0.2578	0.172676	3.45928	0.0983579
0.259767	0.161138	3.34623	0.0835717
0.261733	0.168053	3.11191	0.147882
0.2637	0.167769	3.47097	0.0563638
0.265667	0.166098	3.10171	0.148717
0.267633	0.170276	3.21511	0.122375
0.2696	0.168391	3.5342	0.0869269
0.271567	0.16096	2.92818	0.112655
0.273533	0.165849	3.32766	0.111031
0.2755	0.15968	2.6713	0.191401
0.277467	0.16064	3.00233	0.105933
