p	(av_abs_m)	susceptibility	binder cumulant
0.286	0.0500991	3.56276	0.00615651
0.0513333	0.877821	0.369517	0.666412
0.094	0.804545	1.35713	0.665575
0.115333	0.73414	5.88112	0.661589
0.179333	0.124928	20.1694	0.106695
0.222	0.0731158	7.72167	0.0165077
0.0726667	0.845299	0.624239	0.666205
0.03	0.905421	0.234788	0.666514
0.264667	0.0553474	4.45023	-0.0117508
0.136667	0.48909	75.2057	0.57043
0.307333	0.0462038	2.951	0.0460268
0.200667	0.0904471	11.2597	0.0330027
0.243333	0.0645412	5.89167	0.00950443
0.328667	0.042615	2.55793	0.0169998
0.158	0.20177	47.295	0.211606
0.287524	0.0496903	3.48787	0.0285772
0.0528571	0.875745	0.395865	0.666393
0.0955238	0.801701	1.41152	0.665529
0.116857	0.728196	5.96363	0.661316
0.180857	0.123842	20.2582	0.111285
0.0741905	0.842732	0.668671	0.66617
0.223524	0.0728876	7.51245	0.0142552
0.0315238	0.903656	0.251424	0.666503
0.26619	0.0552497	4.34556	0.0209166
0.13819	0.461086	81.6512	0.549187
0.308857	0.0449164	2.89671	0.021405
0.20219	0.090142	11.1175	0.055552
0.244857	0.0622549	5.52688	-0.00951856
0.33019	0.042407	2.52807	0.014761
0.159524	0.188647	43.2639	0.186202
0.289048	0.049929	3.54785	-0.00283209
0.054381	0.873193	0.414578	0.666378
0.0970476	0.797298	1.58762	0.665376
0.118381	0.717631	8.64512	0.659379
0.182381	0.118967	19.0028	0.0951638
0.225048	0.0727033	7.48776	0.0159237
0.0757143	0.839802	0.671546	0.666163
0.246381	0.0624964	5.44228	0.0349021
0.267714	0.0558121	4.38731	0.0104104
0.0330476	0.90205	0.254746	0.6665
0.139714	0.437924	87.6614	0.529615
0.310381	0.0444006	2.88546	-0.0457601
0.203714	0.0885332	10.7219	0.063961
0.331714	0.0417579	2.54043	-0.00793177
0.161048	0.182277	41.498	0.171007
0.290571	0.0487226	3.40322	-0.00301367
0.0559048	0.871103	0.430639	0.666366
0.0985714	0.793435	1.66259	0.665306
0.119905	0.710133	8.58166	0.658923
0.183905	0.116538	18.4119	0.0747551
0.226571	0.0721138	7.16531	0.0449814
0.0772381	0.836979	0.710453	0.666131
0.269238	0.0540761	4.17197	0.023085
0.247905	0.06041	5.1228	0.0250061
0.0345714	0.900278	0.267031	0.666491
0.141238	0.411222	85.325	0.509397
0.205238	0.0867616	10.4671	0.0547104
0.311905	0.045301	2.8848	-0.00351129
0.333238	0.0421431	2.48129	0.0194093
0.162571	0.17557	39.2492	0.161364
0.0574286	0.868689	0.446764	0.666353
0.100095	0.789574	1.82011	0.665168
0.292095	0.0481712	3.19623	0.0504394
0.121429	0.702183	11.1771	0.657417
0.185429	0.110988	16.9224	0.0573893
0.228095	0.0703766	6.83026	0.0328565
0.249429	0.0615214	5.2581	0.0136406
0.270762	0.0530418	4.07896	-0.00239365
0.0787619	0.834675	0.74266	0.666104
0.0360952	0.897578	0.28222	0.66648
0.142762	0.388641	87.4946	0.486369
0.206762	0.0863083	10.6038	0.0155793
0.313429	0.0450085	2.90225	0.00388668
0.334762	0.0417788	2.51321	-0.00500233
0.164095	0.166248	34.1007	0.155855
0.0589524	0.866816	0.451402	0.666348
0.101619	0.785038	1.90217	0.665087
0.122952	0.693238	11.4809	0.656312
0.293619	0.0476756	3.29288	-0.0084633
0.186952	0.111018	16.5504	0.0763674
0.229619	0.0698935	6.98186	0.0132481
0.272286	0.0531719	4.01163	0.0111568
